=== gpt_oss_120b | run_id=run_20260521 ===
>>> regime=vanilla  sample=0  20:37:18Z

============================================================
  Model:   gpt_oss_120b (openai/gpt-oss-120b-maas)
  Regime:  vanilla  |  Sample: 0  |  Run: run_20260521
  Output:  /home/satvik/Documents/CIKM/runs/run_20260521/responses/gpt_oss_120b_vanilla_sample0_responses.jsonl
============================================================
  Remaining: 140 prompts
  Progress: 1/140 | Rate: 0.21/s | ETA: 11.2m
  Progress: 2/140 | Rate: 0.20/s | ETA: 11.6m
  Progress: 3/140 | Rate: 0.20/s | ETA: 11.3m
  Progress: 4/140 | Rate: 0.18/s | ETA: 12.9m
  Progress: 5/140 | Rate: 0.15/s | ETA: 14.8m
  Progress: 6/140 | Rate: 0.16/s | ETA: 13.6m
  Progress: 7/140 | Rate: 0.15/s | ETA: 15.0m
  Progress: 8/140 | Rate: 0.15/s | ETA: 14.8m
  Progress: 9/140 | Rate: 0.15/s | ETA: 14.7m
  Progress: 10/140 | Rate: 0.14/s | ETA: 15.2m
  Progress: 11/140 | Rate: 0.15/s | ETA: 14.8m
  Progress: 12/140 | Rate: 0.14/s | ETA: 15.1m
  Progress: 13/140 | Rate: 0.14/s | ETA: 14.8m
  Progress: 14/140 | Rate: 0.15/s | ETA: 14.2m
  Progress: 15/140 | Rate: 0.14/s | ETA: 14.5m
  Progress: 16/140 | Rate: 0.11/s | ETA: 18.3m
  Progress: 17/140 | Rate: 0.11/s | ETA: 18.4m
  Progress: 18/140 | Rate: 0.11/s | ETA: 18.7m
  Progress: 19/140 | Rate: 0.11/s | ETA: 18.5m
  Progress: 20/140 | Rate: 0.11/s | ETA: 18.6m
  Progress: 21/140 | Rate: 0.11/s | ETA: 18.6m
  Progress: 22/140 | Rate: 0.11/s | ETA: 18.6m
  Progress: 23/140 | Rate: 0.11/s | ETA: 18.1m
  Progress: 24/140 | Rate: 0.11/s | ETA: 17.9m
  Progress: 25/140 | Rate: 0.11/s | ETA: 17.4m
  Progress: 26/140 | Rate: 0.10/s | ETA: 18.9m
  Progress: 27/140 | Rate: 0.10/s | ETA: 18.5m
  Progress: 28/140 | Rate: 0.10/s | ETA: 19.6m
  Progress: 29/140 | Rate: 0.10/s | ETA: 19.2m
  Progress: 30/140 | Rate: 0.10/s | ETA: 18.8m
  Progress: 31/140 | Rate: 0.10/s | ETA: 18.7m
  Progress: 32/140 | Rate: 0.09/s | ETA: 19.7m
  Progress: 33/140 | Rate: 0.09/s | ETA: 19.7m
  Progress: 34/140 | Rate: 0.08/s | ETA: 20.9m
  Progress: 35/140 | Rate: 0.08/s | ETA: 21.9m
  Progress: 36/140 | Rate: 0.08/s | ETA: 21.7m
  Progress: 37/140 | Rate: 0.08/s | ETA: 21.5m
  Progress: 38/140 | Rate: 0.08/s | ETA: 21.3m
  Progress: 39/140 | Rate: 0.08/s | ETA: 20.9m
  Progress: 40/140 | Rate: 0.08/s | ETA: 21.5m
  Progress: 41/140 | Rate: 0.08/s | ETA: 21.0m
  Progress: 42/140 | Rate: 0.08/s | ETA: 20.5m
