=== CSS variants: gpt_oss_120b | run_id=run_20260521 ===
>>> sample=0  10:21:14Z

============================================================
  Model:    gpt_oss_120b (openai/gpt-oss-120b-maas)
  Sample:   0  |  Run: run_20260521
  Variants: [0, 1]
============================================================

  [v0] Output: /home/satvik/Documents/CIKM/runs/run_20260521/responses/gpt_oss_120b_variant_0_sample0_responses.jsonl
  [v0] Remaining: 140 prompts
  Progress: 1/140 | Rate: 0.68/s | ETA: 3.4m
  Progress: 2/140 | Rate: 0.27/s | ETA: 8.5m
  Progress: 3/140 | Rate: 0.23/s | ETA: 9.7m
  Progress: 4/140 | Rate: 0.15/s | ETA: 14.7m
  Progress: 5/140 | Rate: 0.16/s | ETA: 14.2m
  Progress: 6/140 | Rate: 0.17/s | ETA: 13.3m
  Progress: 7/140 | Rate: 0.17/s | ETA: 12.8m
  Progress: 8/140 | Rate: 0.17/s | ETA: 13.3m
  Progress: 9/140 | Rate: 0.16/s | ETA: 13.6m
  Progress: 10/140 | Rate: 0.16/s | ETA: 13.6m
  Progress: 11/140 | Rate: 0.16/s | ETA: 13.8m
  Progress: 12/140 | Rate: 0.15/s | ETA: 14.5m
  Progress: 13/140 | Rate: 0.14/s | ETA: 14.7m
  Progress: 14/140 | Rate: 0.14/s | ETA: 15.2m
  Progress: 15/140 | Rate: 0.13/s | ETA: 15.5m
  Progress: 16/140 | Rate: 0.14/s | ETA: 15.2m
  Progress: 17/140 | Rate: 0.13/s | ETA: 15.3m
  Progress: 18/140 | Rate: 0.14/s | ETA: 15.0m
  Progress: 19/140 | Rate: 0.13/s | ETA: 15.1m
  Progress: 20/140 | Rate: 0.13/s | ETA: 15.0m
  Progress: 21/140 | Rate: 0.13/s | ETA: 14.9m
  Progress: 22/140 | Rate: 0.13/s | ETA: 14.9m
  Progress: 23/140 | Rate: 0.13/s | ETA: 14.9m
  Progress: 24/140 | Rate: 0.13/s | ETA: 14.8m
  Progress: 25/140 | Rate: 0.13/s | ETA: 14.5m
  Progress: 26/140 | Rate: 0.13/s | ETA: 14.4m
  Progress: 27/140 | Rate: 0.13/s | ETA: 14.0m
  Progress: 28/140 | Rate: 0.13/s | ETA: 14.0m
  Progress: 29/140 | Rate: 0.13/s | ETA: 14.0m
  Progress: 30/140 | Rate: 0.13/s | ETA: 13.8m
  Progress: 31/140 | Rate: 0.13/s | ETA: 13.8m
  Progress: 32/140 | Rate: 0.13/s | ETA: 13.8m
  Progress: 33/140 | Rate: 0.13/s | ETA: 13.7m
  Progress: 34/140 | Rate: 0.13/s | ETA: 13.6m
  Progress: 35/140 | Rate: 0.13/s | ETA: 13.4m
  Progress: 36/140 | Rate: 0.13/s | ETA: 13.4m
  Progress: 37/140 | Rate: 0.13/s | ETA: 13.2m
  Progress: 38/140 | Rate: 0.13/s | ETA: 13.0m
  Progress: 39/140 | Rate: 0.13/s | ETA: 12.7m
  Progress: 40/140 | Rate: 0.13/s | ETA: 12.6m
  Progress: 41/140 | Rate: 0.13/s | ETA: 12.6m
  Progress: 42/140 | Rate: 0.13/s | ETA: 12.6m
  Progress: 43/140 | Rate: 0.13/s | ETA: 12.6m
  Progress: 44/140 | Rate: 0.13/s | ETA: 12.6m
  Progress: 45/140 | Rate: 0.13/s | ETA: 12.5m
  Progress: 46/140 | Rate: 0.13/s | ETA: 12.4m
  Progress: 47/140 | Rate: 0.13/s | ETA: 12.2m
  Progress: 48/140 | Rate: 0.13/s | ETA: 12.0m
  Progress: 49/140 | Rate: 0.13/s | ETA: 11.9m
  Progress: 50/140 | Rate: 0.13/s | ETA: 11.8m
  Progress: 51/140 | Rate: 0.13/s | ETA: 11.5m
  Progress: 52/140 | Rate: 0.13/s | ETA: 11.2m
  Progress: 53/140 | Rate: 0.13/s | ETA: 10.9m
  Progress: 54/140 | Rate: 0.14/s | ETA: 10.6m
  Progress: 55/140 | Rate: 0.14/s | ETA: 10.4m
  Progress: 56/140 | Rate: 0.14/s | ETA: 10.2m
  Progress: 57/140 | Rate: 0.14/s | ETA: 9.9m
  Progress: 58/140 | Rate: 0.14/s | ETA: 9.7m
  Progress: 59/140 | Rate: 0.14/s | ETA: 9.5m
  Progress: 60/140 | Rate: 0.14/s | ETA: 9.3m
  Progress: 61/140 | Rate: 0.14/s | ETA: 9.2m
  Progress: 62/140 | Rate: 0.14/s | ETA: 9.1m
  Progress: 63/140 | Rate: 0.14/s | ETA: 8.9m
  Progress: 64/140 | Rate: 0.14/s | ETA: 8.8m
  Progress: 65/140 | Rate: 0.14/s | ETA: 8.7m
  Progress: 66/140 | Rate: 0.14/s | ETA: 8.6m
  Progress: 67/140 | Rate: 0.14/s | ETA: 8.5m
  Progress: 68/140 | Rate: 0.14/s | ETA: 8.4m
  Progress: 69/140 | Rate: 0.14/s | ETA: 8.2m
  Progress: 70/140 | Rate: 0.14/s | ETA: 8.1m
  Progress: 71/140 | Rate: 0.14/s | ETA: 8.1m
  Progress: 72/140 | Rate: 0.14/s | ETA: 7.9m
  Progress: 73/140 | Rate: 0.14/s | ETA: 7.8m
  Progress: 74/140 | Rate: 0.14/s | ETA: 7.7m
  Progress: 75/140 | Rate: 0.14/s | ETA: 7.6m
  Progress: 76/140 | Rate: 0.14/s | ETA: 7.5m
  Progress: 77/140 | Rate: 0.14/s | ETA: 7.5m
  Progress: 78/140 | Rate: 0.14/s | ETA: 7.4m
  Progress: 79/140 | Rate: 0.14/s | ETA: 7.3m
  Progress: 80/140 | Rate: 0.14/s | ETA: 7.2m
  Progress: 81/140 | Rate: 0.14/s | ETA: 7.1m
  Progress: 82/140 | Rate: 0.14/s | ETA: 7.0m
  Progress: 83/140 | Rate: 0.14/s | ETA: 6.9m
  Progress: 84/140 | Rate: 0.14/s | ETA: 6.7m
  Progress: 85/140 | Rate: 0.14/s | ETA: 6.7m
  Progress: 86/140 | Rate: 0.14/s | ETA: 6.6m
  Progress: 87/140 | Rate: 0.14/s | ETA: 6.5m
  Progress: 88/140 | Rate: 0.14/s | ETA: 6.4m
  [cat2_real_004/v0] [Attempt 1] Error: Expecting value: line 1 column 1 (char 0) — waiting 2s
  Progress: 89/140 | Rate: 0.13/s | ETA: 6.3m
  Progress: 90/140 | Rate: 0.13/s | ETA: 6.2m
  Progress: 91/140 | Rate: 0.13/s | ETA: 6.1m
  Progress: 92/140 | Rate: 0.13/s | ETA: 5.9m
  Progress: 93/140 | Rate: 0.13/s | ETA: 5.8m
  Progress: 94/140 | Rate: 0.13/s | ETA: 5.7m
  Progress: 95/140 | Rate: 0.13/s | ETA: 5.6m
  Progress: 96/140 | Rate: 0.13/s | ETA: 5.5m
  Progress: 97/140 | Rate: 0.13/s | ETA: 5.4m
  Progress: 98/140 | Rate: 0.13/s | ETA: 5.2m
  Progress: 99/140 | Rate: 0.13/s | ETA: 5.1m
  Progress: 100/140 | Rate: 0.13/s | ETA: 5.0m
  Progress: 101/140 | Rate: 0.13/s | ETA: 4.8m
  Progress: 102/140 | Rate: 0.13/s | ETA: 4.7m
  Progress: 103/140 | Rate: 0.13/s | ETA: 4.6m
  Progress: 104/140 | Rate: 0.13/s | ETA: 4.5m
  Progress: 105/140 | Rate: 0.13/s | ETA: 4.4m
  Progress: 106/140 | Rate: 0.13/s | ETA: 4.2m
  Progress: 107/140 | Rate: 0.13/s | ETA: 4.1m
  Progress: 108/140 | Rate: 0.13/s | ETA: 4.1m
  Progress: 109/140 | Rate: 0.13/s | ETA: 3.9m
  Progress: 110/140 | Rate: 0.13/s | ETA: 3.8m
