model,regime,pct_decisive,pct_clarifying,pct_hedging,pct_refusal,pct_disputed
gemma4_e4b,clarification_first,0.0,100.0,0.0,0.0,0.0
gemma4_e4b,neutrality_oriented,2.14,25.48,70.95,0.71,0.71
gemma4_e4b,utility_first,87.62,0.0,11.43,0.71,0.24
gemma4_e4b,vanilla,12.62,7.38,78.57,1.43,0.0
gpt_oss_120b,clarification_first,12.14,71.9,15.0,0.95,0.0
gpt_oss_120b,neutrality_oriented,5.0,30.48,63.57,0.71,0.24
gpt_oss_120b,utility_first,93.57,0.0,4.52,1.9,0.0
gpt_oss_120b,vanilla,27.38,1.43,70.0,0.71,0.48
grok_4_20,clarification_first,17.38,80.0,2.62,0.0,0.0
grok_4_20,neutrality_oriented,24.05,26.9,47.86,0.24,0.95
grok_4_20,utility_first,96.9,0.0,1.43,1.67,0.0
grok_4_20,vanilla,71.67,7.14,19.52,0.0,1.67
llama3_70b,clarification_first,0.0,100.0,0.0,0.0,0.0
llama3_70b,neutrality_oriented,1.19,33.1,65.24,0.48,0.0
llama3_70b,utility_first,98.57,0.0,1.43,0.0,0.0
llama3_70b,vanilla,20.24,7.86,71.9,0.0,0.0
qwen3_235b,clarification_first,2.14,95.0,2.14,0.48,0.24
qwen3_235b,neutrality_oriented,14.52,6.19,77.62,1.19,0.48
qwen3_235b,utility_first,88.81,0.0,10.48,0.24,0.48
qwen3_235b,vanilla,25.95,2.62,70.24,0.95,0.24
qwen3_local,clarification_first,0.71,99.05,0.24,0.0,0.0
qwen3_local,neutrality_oriented,0.48,37.14,61.9,0.24,0.24
qwen3_local,utility_first,91.9,0.0,5.71,1.67,0.71
qwen3_local,vanilla,33.33,3.57,61.67,0.95,0.48
