model,regime,utility_mean,utility_ci_low,utility_ci_high,satisfaction_mean,satisfaction_ci_low,satisfaction_ci_high,css_primary_mean,pct_decisive,pct_clarifying,pct_hedging,pct_refusal,pct_disputed,n_observations,sig_utility_vs_vanilla,sig_satisfaction_vs_vanilla
gemma4_e4b,vanilla,3.8032,3.75,3.8579,3.7786,3.7198,3.8373,0.0378,12.62,7.38,78.57,1.43,0.0,420,False,False
gemma4_e4b,utility_first,3.4929,3.4317,3.5516,3.4921,3.427,3.5492,0.0403,87.62,0.0,11.43,0.71,0.24,420,True,True
gemma4_e4b,neutrality_oriented,3.9945,3.9381,4.0524,3.9111,3.8508,3.9762,0.0336,2.14,25.48,70.95,0.71,0.71,420,True,True
gemma4_e4b,clarification_first,4.4349,4.3643,4.5048,4.3738,4.3,4.4444,0.0305,0.0,100.0,0.0,0.0,0.0,420,True,True
gpt_oss_120b,vanilla,4.2016,4.1389,4.2595,4.2611,4.1929,4.3254,0.0393,27.38,1.43,70.0,0.71,0.48,420,False,False
gpt_oss_120b,utility_first,3.5444,3.4817,3.6087,3.627,3.5611,3.6936,0.0395,93.57,0.0,4.52,1.9,0.0,420,True,True
gpt_oss_120b,neutrality_oriented,4.4151,4.3683,4.4572,4.4214,4.3746,4.4667,0.0375,5.0,30.48,63.57,0.71,0.24,420,True,True
gpt_oss_120b,clarification_first,4.5103,4.45,4.5675,4.5056,4.4476,4.5611,0.0325,12.14,71.9,15.0,0.95,0.0,420,True,True
grok_4_20,vanilla,4.3504,4.2917,4.404,4.4389,4.3802,4.4937,0.0349,71.67,7.14,19.52,0.0,1.67,420,False,False
grok_4_20,utility_first,3.9183,3.8468,3.9849,3.9754,3.9023,4.0429,0.0359,96.9,0.0,1.43,1.67,0.0,420,True,True
grok_4_20,neutrality_oriented,4.7024,4.6706,4.7349,4.7191,4.6881,4.7516,0.0338,24.05,26.9,47.86,0.24,0.95,420,True,True
grok_4_20,clarification_first,4.7183,4.6754,4.7611,4.6889,4.6468,4.731,0.0309,17.38,80.0,2.62,0.0,0.0,420,True,True
llama3_70b,vanilla,3.7381,3.6849,3.7873,3.7841,3.7293,3.8349,0.0308,20.24,7.86,71.9,0.0,0.0,420,False,False
llama3_70b,utility_first,3.2024,3.1429,3.2619,3.2294,3.1722,3.2873,0.0342,98.57,0.0,1.43,0.0,0.0,420,True,True
llama3_70b,neutrality_oriented,3.9635,3.9095,4.0151,3.9206,3.8683,3.9691,0.0301,1.19,33.1,65.24,0.48,0.0,420,True,True
llama3_70b,clarification_first,4.4016,4.3397,4.4675,4.3286,4.2659,4.3937,0.0275,0.0,100.0,0.0,0.0,0.0,420,True,True
qwen3_235b,vanilla,4.0794,4.0341,4.1238,4.1857,4.1405,4.231,0.0293,25.95,2.62,70.24,0.95,0.24,420,False,False
qwen3_235b,utility_first,3.5103,3.4484,3.5714,3.5508,3.4897,3.6127,0.0314,88.81,0.0,10.48,0.24,0.48,420,True,True
qwen3_235b,neutrality_oriented,4.1206,4.0762,4.1611,4.2238,4.1817,4.2667,0.0283,14.52,6.19,77.62,1.19,0.48,420,True,True
qwen3_235b,clarification_first,4.5333,4.4722,4.5913,4.4746,4.4111,4.5341,0.0272,2.14,95.0,2.14,0.48,0.24,420,True,True
qwen3_local,vanilla,4.2111,4.1611,4.2619,4.2992,4.2484,4.35,0.0315,33.33,3.57,61.67,0.95,0.48,420,False,False
qwen3_local,utility_first,3.5111,3.45,3.5714,3.5198,3.4579,3.5794,0.0347,91.9,0.0,5.71,1.67,0.71,420,True,True
qwen3_local,neutrality_oriented,4.3722,4.3293,4.4143,4.3452,4.3016,4.3889,0.0285,0.48,37.14,61.9,0.24,0.24,420,True,True
qwen3_local,clarification_first,4.5659,4.5087,4.619,4.4889,4.4293,4.5445,0.0303,0.71,99.05,0.24,0.0,0.0,420,True,True
