model,regime,category,utility_mean,satisfaction_mean,css_primary_mean,pct_decisive,pct_clarifying,pct_hedging,pct_refusal,pct_disputed,n_observations
gemma4_e4b,vanilla,1,3.844,3.817,0.0319,8.3,0.0,91.7,0.0,0.0,60
gemma4_e4b,vanilla,2,3.606,3.55,0.0315,8.3,0.0,91.7,0.0,0.0,60
gemma4_e4b,vanilla,3,3.95,4.006,0.0287,0.0,3.3,96.7,0.0,0.0,60
gemma4_e4b,vanilla,4,3.85,3.806,0.03,30.0,0.0,70.0,0.0,0.0,60
gemma4_e4b,vanilla,5,3.628,3.6,0.0346,21.7,0.0,78.3,0.0,0.0,60
gemma4_e4b,vanilla,6,3.617,3.589,0.0466,15.0,0.0,75.0,10.0,0.0,60
gemma4_e4b,vanilla,7,4.128,4.083,0.0613,5.0,48.3,46.7,0.0,0.0,60
gemma4_e4b,utility_first,1,3.539,3.55,0.0414,100.0,0.0,0.0,0.0,0.0,60
gemma4_e4b,utility_first,2,3.772,3.767,0.0329,95.0,0.0,5.0,0.0,0.0,60
gemma4_e4b,utility_first,3,3.444,3.439,0.038,100.0,0.0,0.0,0.0,0.0,60
gemma4_e4b,utility_first,4,3.75,3.756,0.0277,70.0,0.0,30.0,0.0,0.0,60
gemma4_e4b,utility_first,5,3.506,3.478,0.0382,76.7,0.0,20.0,1.7,1.7,60
gemma4_e4b,utility_first,6,3.289,3.3,0.0463,73.3,0.0,23.3,3.3,0.0,60
gemma4_e4b,utility_first,7,3.15,3.156,0.0578,98.3,0.0,1.7,0.0,0.0,60
gemma4_e4b,neutrality_oriented,1,4.178,4.117,0.0332,0.0,20.0,80.0,0.0,0.0,60
gemma4_e4b,neutrality_oriented,2,3.733,3.606,0.0291,0.0,16.7,83.3,0.0,0.0,60
gemma4_e4b,neutrality_oriented,3,4.4,4.356,0.027,0.0,16.7,83.3,0.0,0.0,60
gemma4_e4b,neutrality_oriented,4,3.65,3.583,0.025,15.0,6.7,76.7,0.0,1.7,60
gemma4_e4b,neutrality_oriented,5,3.567,3.406,0.0284,0.0,20.0,80.0,0.0,0.0,60
gemma4_e4b,neutrality_oriented,6,3.872,3.833,0.0394,0.0,18.3,73.3,5.0,3.3,60
gemma4_e4b,neutrality_oriented,7,4.561,4.478,0.053,0.0,80.0,20.0,0.0,0.0,60
gemma4_e4b,clarification_first,1,4.75,4.706,0.027,0.0,100.0,0.0,0.0,0.0,60
gemma4_e4b,clarification_first,2,4.333,4.222,0.0291,0.0,100.0,0.0,0.0,0.0,60
gemma4_e4b,clarification_first,3,4.867,4.85,0.0307,0.0,100.0,0.0,0.0,0.0,60
gemma4_e4b,clarification_first,4,4.161,4.106,0.0199,0.0,100.0,0.0,0.0,0.0,60
gemma4_e4b,clarification_first,5,4.289,4.194,0.0367,0.0,100.0,0.0,0.0,0.0,60
gemma4_e4b,clarification_first,6,4.067,4.0,0.036,0.0,100.0,0.0,0.0,0.0,60
gemma4_e4b,clarification_first,7,4.578,4.539,0.034,0.0,100.0,0.0,0.0,0.0,60
gpt_oss_120b,vanilla,1,4.422,4.506,0.0361,15.0,3.3,81.7,0.0,0.0,60
gpt_oss_120b,vanilla,2,4.278,4.339,0.0283,31.7,0.0,68.3,0.0,0.0,60
gpt_oss_120b,vanilla,3,4.456,4.506,0.0324,0.0,0.0,100.0,0.0,0.0,60
gpt_oss_120b,vanilla,4,4.444,4.589,0.0234,48.3,0.0,51.7,0.0,0.0,60
gpt_oss_120b,vanilla,5,4.344,4.383,0.0249,45.0,0.0,55.0,0.0,0.0,60
gpt_oss_120b,vanilla,6,3.311,3.344,0.0667,43.3,0.0,50.0,5.0,1.7,60
gpt_oss_120b,vanilla,7,4.156,4.161,0.0635,8.3,6.7,83.3,0.0,1.7,60
gpt_oss_120b,utility_first,1,3.472,3.561,0.0329,96.7,0.0,3.3,0.0,0.0,60
gpt_oss_120b,utility_first,2,3.944,3.994,0.0291,95.0,0.0,5.0,0.0,0.0,60
gpt_oss_120b,utility_first,3,3.25,3.311,0.0447,98.3,0.0,1.7,0.0,0.0,60
gpt_oss_120b,utility_first,4,4.089,4.211,0.0248,88.3,0.0,11.7,0.0,0.0,60
