model_scope,metric,n_regimes,n_blocks,statistic,p_value
gemma4_e4b,utility,4,420,386.629630,0.000000
gemma4_e4b,satisfaction,4,420,346.363780,0.000000
gemma4_e4b,decisive_rate,4,416,955.303556,0.000000
gpt_oss_120b,utility,4,420,456.019528,0.000000
gpt_oss_120b,satisfaction,4,420,382.016103,0.000000
gpt_oss_120b,decisive_rate,4,417,833.765472,0.000000
grok_4_20,utility,4,420,420.852713,0.000000
grok_4_20,satisfaction,4,420,368.131579,0.000000
grok_4_20,decisive_rate,4,409,713.738812,0.000000
llama3_70b,utility,4,420,509.645992,0.000000
llama3_70b,satisfaction,4,420,455.280628,0.000000
llama3_70b,decisive_rate,4,420,1045.161876,0.000000
qwen3_235b,utility,4,420,477.798660,0.000000
qwen3_235b,satisfaction,4,420,419.644565,0.000000
qwen3_235b,decisive_rate,4,414,803.810061,0.000000
qwen3_local,utility,4,420,516.578055,0.000000
qwen3_local,satisfaction,4,420,453.238490,0.000000
qwen3_local,decisive_rate,4,414,905.788863,0.000000
pooled,utility,4,2520,2658.999282,0.000000
pooled,satisfaction,4,2520,2283.755160,0.000000
pooled,decisive_rate,4,2490,5052.928707,0.000000
