model_scope,regime_a,regime_b,metric,n_pairs,statistic,p_value,p_bonferroni_alpha,significant_bonf,cliffs_delta
gemma4_e4b,vanilla,utility_first,utility,420,26335.000000,0.000000,0.002083,True,0.288095
gemma4_e4b,vanilla,utility_first,satisfaction,420,27951.500000,0.000000,0.002083,True,0.261905
gemma4_e4b,vanilla,utility_first,css_primary,420,39295.000000,0.048549,0.002083,False,-0.071429
gemma4_e4b,vanilla,utility_first,decisive_rate,419,3517.500000,0.000000,0.002083,True,-0.751790
gemma4_e4b,vanilla,neutrality_oriented,utility,420,29022.500000,0.000000,0.002083,True,-0.226190
gemma4_e4b,vanilla,neutrality_oriented,satisfaction,420,34228.000000,0.000060,0.002083,True,-0.164286
gemma4_e4b,vanilla,neutrality_oriented,css_primary,420,36975.500000,0.003680,0.002083,False,0.104762
gemma4_e4b,vanilla,neutrality_oriented,decisive_rate,417,35271.000000,0.000198,0.002083,True,0.100719
gemma4_e4b,vanilla,clarification_first,utility,420,11066.000000,0.000000,0.002083,True,-0.619048
gemma4_e4b,vanilla,clarification_first,satisfaction,420,12361.000000,0.000000,0.002083,True,-0.590476
gemma4_e4b,vanilla,clarification_first,css_primary,420,35404.000000,0.000407,0.002083,True,0.138095
gemma4_e4b,vanilla,clarification_first,decisive_rate,420,33764.000000,0.000004,0.002083,True,0.126190
gemma4_e4b,utility_first,neutrality_oriented,utility,420,19174.000000,0.000000,0.002083,True,-0.373810
gemma4_e4b,utility_first,neutrality_oriented,satisfaction,420,23847.000000,0.000000,0.002083,True,-0.297619
gemma4_e4b,utility_first,neutrality_oriented,css_primary,420,34151.500000,0.000054,0.002083,True,0.133333
gemma4_e4b,utility_first,neutrality_oriented,decisive_rate,416,855.500000,0.000000,0.002083,True,0.860577
gemma4_e4b,utility_first,clarification_first,utility,420,7892.000000,0.000000,0.002083,True,-0.707143
gemma4_e4b,utility_first,clarification_first,satisfaction,420,8865.500000,0.000000,0.002083,True,-0.690476
gemma4_e4b,utility_first,clarification_first,css_primary,420,30889.000000,0.000000,0.002083,True,0.204762
gemma4_e4b,utility_first,clarification_first,decisive_rate,419,663.000000,0.000000,0.002083,True,0.878282
gemma4_e4b,neutrality_oriented,clarification_first,utility,420,17887.000000,0.000000,0.002083,True,-0.509524
gemma4_e4b,neutrality_oriented,clarification_first,satisfaction,420,17490.000000,0.000000,0.002083,True,-0.502381
gemma4_e4b,neutrality_oriented,clarification_first,css_primary,420,41951.000000,0.365192,0.002083,False,0.038095
gemma4_e4b,neutrality_oriented,clarification_first,decisive_rate,417,41718.000000,0.388737,0.002083,False,0.021583
gpt_oss_120b,vanilla,utility_first,utility,420,8918.500000,0.000000,0.002083,True,0.630952
gpt_oss_120b,vanilla,utility_first,satisfaction,420,9803.500000,0.000000,0.002083,True,0.607143
gpt_oss_120b,vanilla,utility_first,css_primary,420,42886.000000,0.596187,0.002083,False,-0.002381
gpt_oss_120b,vanilla,utility_first,decisive_rate,418,5352.500000,0.000000,0.002083,True,-0.660287
gpt_oss_120b,vanilla,neutrality_oriented,utility,420,30216.500000,0.000000,0.002083,True,-0.192857
gpt_oss_120b,vanilla,neutrality_oriented,satisfaction,420,35214.000000,0.000290,0.002083,True,-0.095238
gpt_oss_120b,vanilla,neutrality_oriented,css_primary,420,43249.000000,0.700933,0.002083,False,-0.002381
gpt_oss_120b,vanilla,neutrality_oriented,decisive_rate,417,26304.000000,0.000000,0.002083,True,0.225420
gpt_oss_120b,vanilla,clarification_first,utility,420,24306.000000,0.000000,0.002083,True,-0.380952
gpt_oss_120b,vanilla,clarification_first,satisfaction,420,27676.500000,0.000000,0.002083,True,-0.304762
gpt_oss_120b,vanilla,clarification_first,css_primary,420,35850.000000,0.000789,0.002083,True,0.150000
gpt_oss_120b,vanilla,clarification_first,decisive_rate,418,31929.500000,0.000000,0.002083,True,0.153110
gpt_oss_120b,utility_first,neutrality_oriented,utility,420,5318.000000,0.000000,0.002083,True,-0.709524
gpt_oss_120b,utility_first,neutrality_oriented,satisfaction,420,7011.500000,0.000000,0.002083,True,-0.647619
gpt_oss_120b,utility_first,neutrality_oriented,css_primary,420,41369.000000,0.254567,0.002083,False,0.069048
gpt_oss_120b,utility_first,neutrality_oriented,decisive_rate,419,588.000000,0.000000,0.002083,True,0.885442
