model,regime,metric,mean,ci_low,ci_high,n
gemma4_e4b,clarification_first,utility,4.4349,4.3643,4.5048,420
gemma4_e4b,clarification_first,satisfaction,4.3738,4.3,4.4444,420
gemma4_e4b,clarification_first,decisive_rate,0.0,0.0,0.0,420
gemma4_e4b,clarification_first,css_primary,0.0305,0.0282,0.0328,420
gemma4_e4b,clarification_first,pct_decisive,0.0,,,420
gemma4_e4b,clarification_first,pct_clarifying,100.0,,,420
gemma4_e4b,clarification_first,pct_hedging,0.0,,,420
gemma4_e4b,clarification_first,pct_refusal,0.0,,,420
gemma4_e4b,clarification_first,pct_disputed,0.0,,,420
gemma4_e4b,neutrality_oriented,utility,3.9945,3.9381,4.0524,420
gemma4_e4b,neutrality_oriented,satisfaction,3.9111,3.8508,3.9762,420
gemma4_e4b,neutrality_oriented,decisive_rate,0.0216,0.0096,0.036,417
gemma4_e4b,neutrality_oriented,css_primary,0.0336,0.0307,0.0367,420
gemma4_e4b,neutrality_oriented,pct_decisive,2.14,,,420
gemma4_e4b,neutrality_oriented,pct_clarifying,25.48,,,420
gemma4_e4b,neutrality_oriented,pct_hedging,70.95,,,420
gemma4_e4b,neutrality_oriented,pct_refusal,0.71,,,420
gemma4_e4b,neutrality_oriented,pct_disputed,0.71,,,420
gemma4_e4b,utility_first,utility,3.4929,3.4317,3.5516,420
gemma4_e4b,utility_first,satisfaction,3.4921,3.427,3.5492,420
gemma4_e4b,utility_first,decisive_rate,0.8783,0.8473,0.9093,419
gemma4_e4b,utility_first,css_primary,0.0403,0.0374,0.0434,420
gemma4_e4b,utility_first,pct_decisive,87.62,,,420
gemma4_e4b,utility_first,pct_clarifying,0.0,,,420
gemma4_e4b,utility_first,pct_hedging,11.43,,,420
gemma4_e4b,utility_first,pct_refusal,0.71,,,420
gemma4_e4b,utility_first,pct_disputed,0.24,,,420
gemma4_e4b,vanilla,utility,3.8032,3.75,3.8579,420
gemma4_e4b,vanilla,satisfaction,3.7786,3.7198,3.8373,420
gemma4_e4b,vanilla,decisive_rate,0.1262,0.0976,0.1595,420
gemma4_e4b,vanilla,css_primary,0.0378,0.0345,0.041,420
gemma4_e4b,vanilla,pct_decisive,12.62,,,420
gemma4_e4b,vanilla,pct_clarifying,7.38,,,420
gemma4_e4b,vanilla,pct_hedging,78.57,,,420
gemma4_e4b,vanilla,pct_refusal,1.43,,,420
gemma4_e4b,vanilla,pct_disputed,0.0,,,420
gpt_oss_120b,clarification_first,utility,4.5103,4.45,4.5675,420
gpt_oss_120b,clarification_first,satisfaction,4.5056,4.4476,4.5611,420
gpt_oss_120b,clarification_first,decisive_rate,0.1214,0.0905,0.1524,420
gpt_oss_120b,clarification_first,css_primary,0.0325,0.0287,0.037,420
gpt_oss_120b,clarification_first,pct_decisive,12.14,,,420
gpt_oss_120b,clarification_first,pct_clarifying,71.9,,,420
gpt_oss_120b,clarification_first,pct_hedging,15.0,,,420
gpt_oss_120b,clarification_first,pct_refusal,0.95,,,420
gpt_oss_120b,clarification_first,pct_disputed,0.0,,,420
gpt_oss_120b,neutrality_oriented,utility,4.4151,4.3683,4.4572,420
gpt_oss_120b,neutrality_oriented,satisfaction,4.4214,4.3746,4.4667,420
gpt_oss_120b,neutrality_oriented,decisive_rate,0.0501,0.031,0.0716,419
gpt_oss_120b,neutrality_oriented,css_primary,0.0375,0.033,0.0429,420
gpt_oss_120b,neutrality_oriented,pct_decisive,5.0,,,420
gpt_oss_120b,neutrality_oriented,pct_clarifying,30.48,,,420
gpt_oss_120b,neutrality_oriented,pct_hedging,63.57,,,420
gpt_oss_120b,neutrality_oriented,pct_refusal,0.71,,,420
gpt_oss_120b,neutrality_oriented,pct_disputed,0.24,,,420
gpt_oss_120b,utility_first,utility,3.5444,3.4817,3.6087,420
gpt_oss_120b,utility_first,satisfaction,3.627,3.5611,3.6936,420
gpt_oss_120b,utility_first,decisive_rate,0.9357,0.9119,0.9595,420
gpt_oss_120b,utility_first,css_primary,0.0395,0.0352,0.0447,420
gpt_oss_120b,utility_first,pct_decisive,93.57,,,420
gpt_oss_120b,utility_first,pct_clarifying,0.0,,,420
gpt_oss_120b,utility_first,pct_hedging,4.52,,,420
gpt_oss_120b,utility_first,pct_refusal,1.9,,,420
gpt_oss_120b,utility_first,pct_disputed,0.0,,,420
gpt_oss_120b,vanilla,utility,4.2016,4.1389,4.2595,420
gpt_oss_120b,vanilla,satisfaction,4.2611,4.1929,4.3254,420
gpt_oss_120b,vanilla,decisive_rate,0.2751,0.2321,0.3158,418
gpt_oss_120b,vanilla,css_primary,0.0393,0.035,0.0446,420
gpt_oss_120b,vanilla,pct_decisive,27.38,,,420
gpt_oss_120b,vanilla,pct_clarifying,1.43,,,420
gpt_oss_120b,vanilla,pct_hedging,70.0,,,420
gpt_oss_120b,vanilla,pct_refusal,0.71,,,420
gpt_oss_120b,vanilla,pct_disputed,0.48,,,420
grok_4_20,clarification_first,utility,4.7183,4.6754,4.7611,420
grok_4_20,clarification_first,satisfaction,4.6889,4.6468,4.731,420
grok_4_20,clarification_first,decisive_rate,0.1738,0.1381,0.2119,420
grok_4_20,clarification_first,css_primary,0.0309,0.0285,0.0332,420
grok_4_20,clarification_first,pct_decisive,17.38,,,420
grok_4_20,clarification_first,pct_clarifying,80.0,,,420
grok_4_20,clarification_first,pct_hedging,2.62,,,420
grok_4_20,clarification_first,pct_refusal,0.0,,,420
grok_4_20,clarification_first,pct_disputed,0.0,,,420
grok_4_20,neutrality_oriented,utility,4.7024,4.6706,4.7349,420
grok_4_20,neutrality_oriented,satisfaction,4.7191,4.6881,4.7516,420
grok_4_20,neutrality_oriented,decisive_rate,0.2428,0.1995,0.2813,416
grok_4_20,neutrality_oriented,css_primary,0.0338,0.031,0.0366,420
grok_4_20,neutrality_oriented,pct_decisive,24.05,,,420
grok_4_20,neutrality_oriented,pct_clarifying,26.9,,,420
grok_4_20,neutrality_oriented,pct_hedging,47.86,,,420
grok_4_20,neutrality_oriented,pct_refusal,0.24,,,420
grok_4_20,neutrality_oriented,pct_disputed,0.95,,,420
grok_4_20,utility_first,utility,3.9183,3.8468,3.9849,420
grok_4_20,utility_first,satisfaction,3.9754,3.9023,4.0429,420
grok_4_20,utility_first,decisive_rate,0.969,0.95,0.9857,420
grok_4_20,utility_first,css_primary,0.0359,0.0332,0.039,418
grok_4_20,utility_first,pct_decisive,96.9,,,420
grok_4_20,utility_first,pct_clarifying,0.0,,,420
grok_4_20,utility_first,pct_hedging,1.43,,,420
grok_4_20,utility_first,pct_refusal,1.67,,,420
grok_4_20,utility_first,pct_disputed,0.0,,,420
grok_4_20,vanilla,utility,4.3504,4.2917,4.404,420
grok_4_20,vanilla,satisfaction,4.4389,4.3802,4.4937,420
grok_4_20,vanilla,decisive_rate,0.7288,0.6852,0.77,413
grok_4_20,vanilla,css_primary,0.0349,0.0321,0.0382,420
grok_4_20,vanilla,pct_decisive,71.67,,,420
grok_4_20,vanilla,pct_clarifying,7.14,,,420
grok_4_20,vanilla,pct_hedging,19.52,,,420
grok_4_20,vanilla,pct_refusal,0.0,,,420
grok_4_20,vanilla,pct_disputed,1.67,,,420
llama3_70b,clarification_first,utility,4.4016,4.3397,4.4675,420
llama3_70b,clarification_first,satisfaction,4.3286,4.2659,4.3937,420
llama3_70b,clarification_first,decisive_rate,0.0,0.0,0.0,420
llama3_70b,clarification_first,css_primary,0.0275,0.0254,0.0297,420
llama3_70b,clarification_first,pct_decisive,0.0,,,420
llama3_70b,clarification_first,pct_clarifying,100.0,,,420
llama3_70b,clarification_first,pct_hedging,0.0,,,420
llama3_70b,clarification_first,pct_refusal,0.0,,,420
llama3_70b,clarification_first,pct_disputed,0.0,,,420
llama3_70b,neutrality_oriented,utility,3.9635,3.9095,4.0151,420
llama3_70b,neutrality_oriented,satisfaction,3.9206,3.8683,3.9691,420
llama3_70b,neutrality_oriented,decisive_rate,0.0119,0.0024,0.0238,420
llama3_70b,neutrality_oriented,css_primary,0.0301,0.0269,0.0333,420
llama3_70b,neutrality_oriented,pct_decisive,1.19,,,420
llama3_70b,neutrality_oriented,pct_clarifying,33.1,,,420
llama3_70b,neutrality_oriented,pct_hedging,65.24,,,420
llama3_70b,neutrality_oriented,pct_refusal,0.48,,,420
llama3_70b,neutrality_oriented,pct_disputed,0.0,,,420
llama3_70b,utility_first,utility,3.2024,3.1429,3.2619,420
llama3_70b,utility_first,satisfaction,3.2294,3.1722,3.2873,420
llama3_70b,utility_first,decisive_rate,0.9857,0.9738,0.9952,420
llama3_70b,utility_first,css_primary,0.0342,0.0312,0.0374,420
llama3_70b,utility_first,pct_decisive,98.57,,,420
llama3_70b,utility_first,pct_clarifying,0.0,,,420
llama3_70b,utility_first,pct_hedging,1.43,,,420
llama3_70b,utility_first,pct_refusal,0.0,,,420
llama3_70b,utility_first,pct_disputed,0.0,,,420
llama3_70b,vanilla,utility,3.7381,3.6849,3.7873,420
llama3_70b,vanilla,satisfaction,3.7841,3.7293,3.8349,420
llama3_70b,vanilla,decisive_rate,0.2024,0.1667,0.2405,420
llama3_70b,vanilla,css_primary,0.0308,0.028,0.0342,420
llama3_70b,vanilla,pct_decisive,20.24,,,420
llama3_70b,vanilla,pct_clarifying,7.86,,,420
llama3_70b,vanilla,pct_hedging,71.9,,,420
llama3_70b,vanilla,pct_refusal,0.0,,,420
llama3_70b,vanilla,pct_disputed,0.0,,,420
qwen3_235b,clarification_first,utility,4.5333,4.4722,4.5913,420
qwen3_235b,clarification_first,satisfaction,4.4746,4.4111,4.5341,420
qwen3_235b,clarification_first,decisive_rate,0.0215,0.0095,0.0382,419
qwen3_235b,clarification_first,css_primary,0.0272,0.0247,0.0298,420
qwen3_235b,clarification_first,pct_decisive,2.14,,,420
qwen3_235b,clarification_first,pct_clarifying,95.0,,,420
qwen3_235b,clarification_first,pct_hedging,2.14,,,420
qwen3_235b,clarification_first,pct_refusal,0.48,,,420
qwen3_235b,clarification_first,pct_disputed,0.24,,,420
qwen3_235b,neutrality_oriented,utility,4.1206,4.0762,4.1611,420
qwen3_235b,neutrality_oriented,satisfaction,4.2238,4.1817,4.2667,420
qwen3_235b,neutrality_oriented,decisive_rate,0.1459,0.1148,0.1818,418
qwen3_235b,neutrality_oriented,css_primary,0.0283,0.0257,0.0307,420
qwen3_235b,neutrality_oriented,pct_decisive,14.52,,,420
qwen3_235b,neutrality_oriented,pct_clarifying,6.19,,,420
qwen3_235b,neutrality_oriented,pct_hedging,77.62,,,420
qwen3_235b,neutrality_oriented,pct_refusal,1.19,,,420
qwen3_235b,neutrality_oriented,pct_disputed,0.48,,,420
qwen3_235b,utility_first,utility,3.5103,3.4484,3.5714,420
qwen3_235b,utility_first,satisfaction,3.5508,3.4897,3.6127,420
qwen3_235b,utility_first,decisive_rate,0.8923,0.8636,0.9211,418
qwen3_235b,utility_first,css_primary,0.0314,0.0287,0.0341,420
qwen3_235b,utility_first,pct_decisive,88.81,,,420
qwen3_235b,utility_first,pct_clarifying,0.0,,,420
qwen3_235b,utility_first,pct_hedging,10.48,,,420
qwen3_235b,utility_first,pct_refusal,0.24,,,420
qwen3_235b,utility_first,pct_disputed,0.48,,,420
qwen3_235b,vanilla,utility,4.0794,4.0341,4.1238,420
qwen3_235b,vanilla,satisfaction,4.1857,4.1405,4.231,420
qwen3_235b,vanilla,decisive_rate,0.2601,0.2219,0.3031,419
qwen3_235b,vanilla,css_primary,0.0293,0.0266,0.0319,420
qwen3_235b,vanilla,pct_decisive,25.95,,,420
qwen3_235b,vanilla,pct_clarifying,2.62,,,420
qwen3_235b,vanilla,pct_hedging,70.24,,,420
qwen3_235b,vanilla,pct_refusal,0.95,,,420
qwen3_235b,vanilla,pct_disputed,0.24,,,420
qwen3_local,clarification_first,utility,4.5659,4.5087,4.619,420
qwen3_local,clarification_first,satisfaction,4.4889,4.4293,4.5445,420
qwen3_local,clarification_first,decisive_rate,0.0071,0.0,0.0167,420
qwen3_local,clarification_first,css_primary,0.0303,0.028,0.0325,419
qwen3_local,clarification_first,pct_decisive,0.71,,,420
qwen3_local,clarification_first,pct_clarifying,99.05,,,420
qwen3_local,clarification_first,pct_hedging,0.24,,,420
qwen3_local,clarification_first,pct_refusal,0.0,,,420
qwen3_local,clarification_first,pct_disputed,0.0,,,420
qwen3_local,neutrality_oriented,utility,4.3722,4.3293,4.4143,420
qwen3_local,neutrality_oriented,satisfaction,4.3452,4.3016,4.3889,420
qwen3_local,neutrality_oriented,decisive_rate,0.0048,0.0,0.0119,419
qwen3_local,neutrality_oriented,css_primary,0.0285,0.0259,0.0312,419
qwen3_local,neutrality_oriented,pct_decisive,0.48,,,420
qwen3_local,neutrality_oriented,pct_clarifying,37.14,,,420
qwen3_local,neutrality_oriented,pct_hedging,61.9,,,420
qwen3_local,neutrality_oriented,pct_refusal,0.24,,,420
qwen3_local,neutrality_oriented,pct_disputed,0.24,,,420
qwen3_local,utility_first,utility,3.5111,3.45,3.5714,420
qwen3_local,utility_first,satisfaction,3.5198,3.4579,3.5794,420
qwen3_local,utility_first,decisive_rate,0.9257,0.8993,0.9496,417
qwen3_local,utility_first,css_primary,0.0347,0.0315,0.0376,419
qwen3_local,utility_first,pct_decisive,91.9,,,420
qwen3_local,utility_first,pct_clarifying,0.0,,,420
qwen3_local,utility_first,pct_hedging,5.71,,,420
qwen3_local,utility_first,pct_refusal,1.67,,,420
qwen3_local,utility_first,pct_disputed,0.71,,,420
qwen3_local,vanilla,utility,4.2111,4.1611,4.2619,420
qwen3_local,vanilla,satisfaction,4.2992,4.2484,4.35,420
qwen3_local,vanilla,decisive_rate,0.3349,0.2871,0.378,418
qwen3_local,vanilla,css_primary,0.0315,0.0288,0.0343,418
qwen3_local,vanilla,pct_decisive,33.33,,,420
qwen3_local,vanilla,pct_clarifying,3.57,,,420
qwen3_local,vanilla,pct_hedging,61.67,,,420
qwen3_local,vanilla,pct_refusal,0.95,,,420
qwen3_local,vanilla,pct_disputed,0.48,,,420
