model,regime,category,mean_css_primary,mean_css_max,n_observations
gemma4_e4b,clarification_first,1,0.026956,0.549251,60
gemma4_e4b,clarification_first,2,0.029071,0.522302,60
gemma4_e4b,clarification_first,3,0.030732,0.583573,60
gemma4_e4b,clarification_first,4,0.019887,0.526316,60
gemma4_e4b,clarification_first,5,0.036688,0.569318,60
gemma4_e4b,clarification_first,6,0.035963,0.50593,60
gemma4_e4b,clarification_first,7,0.033958,0.416744,60
gemma4_e4b,neutrality_oriented,1,0.033242,0.844497,60
gemma4_e4b,neutrality_oriented,2,0.029146,0.862079,60
gemma4_e4b,neutrality_oriented,3,0.026972,0.857099,60
gemma4_e4b,neutrality_oriented,4,0.024972,0.853371,60
gemma4_e4b,neutrality_oriented,5,0.028449,0.824263,60
gemma4_e4b,neutrality_oriented,6,0.039393,0.773523,60
gemma4_e4b,neutrality_oriented,7,0.053046,0.712765,60
gemma4_e4b,utility_first,1,0.04137,0.717601,60
gemma4_e4b,utility_first,2,0.032943,0.679727,60
gemma4_e4b,utility_first,3,0.037976,0.684971,60
gemma4_e4b,utility_first,4,0.027686,0.75521,60
gemma4_e4b,utility_first,5,0.038199,0.745981,60
gemma4_e4b,utility_first,6,0.046262,0.656666,60
gemma4_e4b,utility_first,7,0.057764,0.576097,60
gemma4_e4b,vanilla,1,0.031942,0.840951,60
gemma4_e4b,vanilla,2,0.031528,0.869204,60
gemma4_e4b,vanilla,3,0.028714,0.844899,60
gemma4_e4b,vanilla,4,0.029995,0.873532,60
gemma4_e4b,vanilla,5,0.034595,0.851541,60
gemma4_e4b,vanilla,6,0.046612,0.768416,60
gemma4_e4b,vanilla,7,0.061341,0.720091,60
gpt_oss_120b,clarification_first,1,0.032767,0.595577,60
gpt_oss_120b,clarification_first,2,0.031088,0.696684,60
gpt_oss_120b,clarification_first,3,0.026357,0.618178,60
gpt_oss_120b,clarification_first,4,0.023034,0.766195,60
gpt_oss_120b,clarification_first,5,0.026359,0.69263,60
gpt_oss_120b,clarification_first,6,0.049584,0.587153,60
gpt_oss_120b,clarification_first,7,0.038041,0.44522,60
gpt_oss_120b,neutrality_oriented,1,0.038309,0.815489,60
gpt_oss_120b,neutrality_oriented,2,0.027367,0.852784,60
gpt_oss_120b,neutrality_oriented,3,0.032392,0.842232,60
gpt_oss_120b,neutrality_oriented,4,0.024792,0.886208,60
gpt_oss_120b,neutrality_oriented,5,0.023348,0.870476,60
gpt_oss_120b,neutrality_oriented,6,0.060935,0.768588,60
gpt_oss_120b,neutrality_oriented,7,0.055404,0.653397,60
gpt_oss_120b,utility_first,1,0.032859,0.789184,60
gpt_oss_120b,utility_first,2,0.029133,0.82612,60
gpt_oss_120b,utility_first,3,0.044676,0.806887,60
gpt_oss_120b,utility_first,4,0.024812,0.866415,60
gpt_oss_120b,utility_first,5,0.02309,0.843976,60
gpt_oss_120b,utility_first,6,0.061687,0.729666,60
gpt_oss_120b,utility_first,7,0.060022,0.620857,60
gpt_oss_120b,vanilla,1,0.036087,0.836356,60
gpt_oss_120b,vanilla,2,0.028273,0.873893,60
gpt_oss_120b,vanilla,3,0.032448,0.853482,60
gpt_oss_120b,vanilla,4,0.02345,0.895056,60
gpt_oss_120b,vanilla,5,0.024942,0.890251,60
gpt_oss_120b,vanilla,6,0.066684,0.781516,60
gpt_oss_120b,vanilla,7,0.063489,0.673708,60
grok_4_20,clarification_first,1,0.025873,0.561904,60
grok_4_20,clarification_first,2,0.027112,0.734845,60
grok_4_20,clarification_first,3,0.031607,0.515489,60
grok_4_20,clarification_first,4,0.03137,0.813465,60
grok_4_20,clarification_first,5,0.026322,0.713788,60
grok_4_20,clarification_first,6,0.034568,0.53526,60
grok_4_20,clarification_first,7,0.039304,0.440521,60
grok_4_20,neutrality_oriented,1,0.026942,0.837323,60
grok_4_20,neutrality_oriented,2,0.028992,0.846471,60
grok_4_20,neutrality_oriented,3,0.028072,0.822058,60
grok_4_20,neutrality_oriented,4,0.030992,0.889775,60
grok_4_20,neutrality_oriented,5,0.021739,0.849318,60
grok_4_20,neutrality_oriented,6,0.042419,0.76445,60
grok_4_20,neutrality_oriented,7,0.057221,0.675803,60
grok_4_20,utility_first,1,0.030056,0.857026,60
grok_4_20,utility_first,2,0.029414,0.870382,60
grok_4_20,utility_first,3,0.032297,0.836239,59
grok_4_20,utility_first,4,0.026956,0.888222,60
grok_4_20,utility_first,5,0.028987,0.880268,60
grok_4_20,utility_first,6,0.035313,0.726544,59
grok_4_20,utility_first,7,0.06822,0.677186,60
grok_4_20,vanilla,1,0.028813,0.862484,60
grok_4_20,vanilla,2,0.030331,0.873757,60
grok_4_20,vanilla,3,0.030058,0.835745,60
grok_4_20,vanilla,4,0.031734,0.88239,60
grok_4_20,vanilla,5,0.025861,0.869104,60
grok_4_20,vanilla,6,0.039048,0.735455,60
grok_4_20,vanilla,7,0.058663,0.683568,60
llama3_70b,clarification_first,1,0.024117,0.541528,60
llama3_70b,clarification_first,2,0.023523,0.553313,60
llama3_70b,clarification_first,3,0.018484,0.540905,60
llama3_70b,clarification_first,4,0.0239,0.630406,60
llama3_70b,clarification_first,5,0.02472,0.603968,60
llama3_70b,clarification_first,6,0.039683,0.582244,60
llama3_70b,clarification_first,7,0.037877,0.46987,60
llama3_70b,neutrality_oriented,1,0.02313,0.893262,60
llama3_70b,neutrality_oriented,2,0.023177,0.918503,60
llama3_70b,neutrality_oriented,3,0.025984,0.905625,60
llama3_70b,neutrality_oriented,4,0.026404,0.928141,60
llama3_70b,neutrality_oriented,5,0.018239,0.915754,60
llama3_70b,neutrality_oriented,6,0.038561,0.826539,60
llama3_70b,neutrality_oriented,7,0.054934,0.715927,60
llama3_70b,utility_first,1,0.029457,0.851578,60
llama3_70b,utility_first,2,0.027591,0.883712,60
llama3_70b,utility_first,3,0.038368,0.832394,60
llama3_70b,utility_first,4,0.029479,0.891799,60
llama3_70b,utility_first,5,0.020812,0.903368,60
llama3_70b,utility_first,6,0.036444,0.789796,60
llama3_70b,utility_first,7,0.057519,0.660515,60
llama3_70b,vanilla,1,0.022774,0.900839,60
llama3_70b,vanilla,2,0.023465,0.924278,60
llama3_70b,vanilla,3,0.028476,0.909177,60
llama3_70b,vanilla,4,0.026848,0.925836,60
llama3_70b,vanilla,5,0.013098,0.917023,60
llama3_70b,vanilla,6,0.041735,0.85613,60
llama3_70b,vanilla,7,0.059525,0.732996,60
qwen3_235b,clarification_first,1,0.02312,0.671603,60
qwen3_235b,clarification_first,2,0.02283,0.682254,60
qwen3_235b,clarification_first,3,0.025551,0.673718,60
qwen3_235b,clarification_first,4,0.021074,0.751413,60
qwen3_235b,clarification_first,5,0.024378,0.743365,60
qwen3_235b,clarification_first,6,0.041292,0.642595,60
qwen3_235b,clarification_first,7,0.032111,0.560016,60
qwen3_235b,neutrality_oriented,1,0.026581,0.887823,60
qwen3_235b,neutrality_oriented,2,0.022498,0.904751,60
qwen3_235b,neutrality_oriented,3,0.023865,0.89803,60
qwen3_235b,neutrality_oriented,4,0.021747,0.904,60
qwen3_235b,neutrality_oriented,5,0.018185,0.90815,60
qwen3_235b,neutrality_oriented,6,0.041345,0.840837,60
qwen3_235b,neutrality_oriented,7,0.043642,0.71132,60
qwen3_235b,utility_first,1,0.023412,0.839926,60
qwen3_235b,utility_first,2,0.027693,0.899226,60
qwen3_235b,utility_first,3,0.028639,0.863331,60
qwen3_235b,utility_first,4,0.027221,0.895813,60
qwen3_235b,utility_first,5,0.024627,0.898157,60
qwen3_235b,utility_first,6,0.036425,0.814552,60
qwen3_235b,utility_first,7,0.051954,0.656762,60
qwen3_235b,vanilla,1,0.02812,0.887202,60
qwen3_235b,vanilla,2,0.022615,0.912155,60
qwen3_235b,vanilla,3,0.025001,0.89826,60
qwen3_235b,vanilla,4,0.021821,0.907414,60
qwen3_235b,vanilla,5,0.020386,0.911052,60
qwen3_235b,vanilla,6,0.035625,0.82714,60
qwen3_235b,vanilla,7,0.051791,0.728788,60
qwen3_local,clarification_first,1,0.030213,0.508372,60
qwen3_local,clarification_first,2,0.027816,0.470003,60
qwen3_local,clarification_first,3,0.026217,0.523602,60
qwen3_local,clarification_first,4,0.026085,0.49717,60
qwen3_local,clarification_first,5,0.026282,0.521741,59
qwen3_local,clarification_first,6,0.029761,0.507818,60
qwen3_local,clarification_first,7,0.045577,0.418652,60
qwen3_local,neutrality_oriented,1,0.027524,0.864093,60
qwen3_local,neutrality_oriented,2,0.020341,0.861621,60
qwen3_local,neutrality_oriented,3,0.023761,0.87375,60
qwen3_local,neutrality_oriented,4,0.02388,0.880927,60
qwen3_local,neutrality_oriented,5,0.018018,0.847791,59
qwen3_local,neutrality_oriented,6,0.03495,0.80401,60
qwen3_local,neutrality_oriented,7,0.050512,0.70622,60
qwen3_local,utility_first,1,0.032603,0.766191,60
qwen3_local,utility_first,2,0.035635,0.788566,60
qwen3_local,utility_first,3,0.026472,0.777754,60
qwen3_local,utility_first,4,0.021354,0.835326,60
qwen3_local,utility_first,5,0.027713,0.788979,59
qwen3_local,utility_first,6,0.033784,0.660328,60
qwen3_local,utility_first,7,0.064914,0.580203,60
qwen3_local,vanilla,1,0.03039,0.852504,60
qwen3_local,vanilla,2,0.027808,0.877187,60
qwen3_local,vanilla,3,0.023137,0.860597,60
qwen3_local,vanilla,4,0.025225,0.892744,60
qwen3_local,vanilla,5,0.023589,0.875022,58
qwen3_local,vanilla,6,0.033801,0.799164,60
qwen3_local,vanilla,7,0.056483,0.713962,60
