model,category,mean_css_primary,mean_css_max,n_observations
gemma4_e4b,1,0.031942,0.840951,60
gemma4_e4b,2,0.031528,0.869204,60
gemma4_e4b,3,0.028714,0.844899,60
gemma4_e4b,4,0.029995,0.873532,60
gemma4_e4b,5,0.034595,0.851541,60
gemma4_e4b,6,0.046612,0.768416,60
gemma4_e4b,7,0.061341,0.720091,60
gpt_oss_120b,1,0.036087,0.836356,60
gpt_oss_120b,2,0.028273,0.873892,60
gpt_oss_120b,3,0.032448,0.853483,60
gpt_oss_120b,4,0.02345,0.895056,60
gpt_oss_120b,5,0.024942,0.890251,60
gpt_oss_120b,6,0.066684,0.781516,60
gpt_oss_120b,7,0.063489,0.673708,60
grok_4_20,1,0.028813,0.862484,60
grok_4_20,2,0.030331,0.873757,60
grok_4_20,3,0.030058,0.835745,60
grok_4_20,4,0.031734,0.88239,60
grok_4_20,5,0.025861,0.869104,60
grok_4_20,6,0.039049,0.735455,60
grok_4_20,7,0.058663,0.683568,60
llama3_70b,1,0.022774,0.900839,60
llama3_70b,2,0.023465,0.924278,60
llama3_70b,3,0.028476,0.909177,60
llama3_70b,4,0.026848,0.925836,60
llama3_70b,5,0.013098,0.917023,60
llama3_70b,6,0.041735,0.85613,60
llama3_70b,7,0.059525,0.732996,60
qwen3_235b,1,0.02812,0.887202,60
qwen3_235b,2,0.022615,0.912155,60
qwen3_235b,3,0.025001,0.89826,60
qwen3_235b,4,0.021821,0.907414,60
qwen3_235b,5,0.020386,0.911052,60
qwen3_235b,6,0.035625,0.82714,60
qwen3_235b,7,0.051791,0.728788,60
qwen3_local,1,0.03039,0.852504,60
qwen3_local,2,0.027808,0.877187,60
qwen3_local,3,0.023137,0.860597,60
qwen3_local,4,0.025225,0.892744,60
qwen3_local,5,0.023589,0.875022,58
qwen3_local,6,0.033801,0.799164,60
qwen3_local,7,0.056483,0.713962,60
